## These are comments,,,,,,,,,,,,,,
# Expecting the following format for each row,,,,,,,,,,,,,,
# Player,character,alt,character,alt,character,alt,character,alt,character,alt,character,alt,,
Ice_Heartbreak_,Joker,2,,,,,,,,,,,,
IceNinja,King DDD,3,MegaMan,2,,,,,,,,,,
IJ,Yoshi,1,,,,,,,,,,,,
IJPtheGreat,Terry,2,Richter,7,,,,,,,,,,
Imperator,Snake,5,,,,,,,,,,,,
Istva,Mewtwo,1,,,,,,,,,,,,
Its_Tekka,Marth,3,,,,,,,,,,,,
Ividal,Yoshi,5,Ridley,5,,,,,,,,,,
Jam,Palutena,7,Ness,5,,,,,,,,,,
JayRay,WiI Fit Trainer,8,,,,,,,,,,,,
JaZaR,Lucas,4,Mewtwo,1,Pokemon Trainer,5,Hero,7,Dr. Mario,4,Little Mac,3,Corrin,3
jenks,Kirby,4,,,,,,,,,,,,
Jet,Dr. Mario,7,,,,,,,,,,,,
JJPlay,Rosalina,7,MegaMan,8,,,,,,,,,,
JMafia,Yoshi,5,Mii Brawler,1,Steve,8,Mario,8,,,,,,
Jrsmash,Palutena,1,,,,,,,,,,,,
Just Blue,Wii Fit Trainer,1,Pikachu,3,,,,,,,,,,
Justin,Samus,8,Roy,8,,,,,,,,,,
KAKAKA,Snake,3,,,,,,,,,,,,
Kami,Cloud,8,,,,,,,,,,,,
Kawhi,Bowser,1,,,,,,,,,,,,
Keanu,Luigi,3,Donkey Kong,3,,,,,,,,,,
Kebling,Inkling,3,,,,,,,,,,,,
Keith,Link,8,Fox,1,,,,,,,,,,
Kid Cudi,Ken,8,Ryu,4,,,,,,,,,,
Killer,Sonic,1,,,,,,,,,,,,
King Will,Hero,2,Sonic,1,,,,,,,,,,
KingRoBo,K. Rool,1,King DDD,1,,,,,,,,,,
Kirbyfan,OLIMAR (ALPH),1,,,,,,,,,,,,
Kirito SAO,ZSS,4,,,,,,,,,,,,
Kodiaks,Bowser,6,,,,,,,,,,,,
Krade,Sonic,5,Cloud,2,,,,,,,,,,
kstand,Incineroar,6,,,,,,,,,,,,
Kusdo,MR GAME AND WATCH,5,,,,,,,,,,,,
kxllstreet,Little Mac,6,,,,,,,,,,,,
Lalo,Pikachu,4,,,,,,,,,,,,
Laloba,Bayonetta,1,Samus,1,ROB,2,,,,,,,,
LAP,ROB,8,,,,,,,,,,,,
laserlotus,Diddy,8,,,,,,,,,,,,
Lazy RazJaz,Piranha Plant,8,Yoshi,6,Mario,5,Kirby,7,Hero,8,Roy,7,,
LChance,Min Min,8,Terry,8,,,,,,,,,,
Leonfe,Wolf,7,,,,,,,,,,,,
Li'l Gamer,Banjo,7,,,,,,,,,,,,
Lizahbe,Ike,1,,,,,,,,,,,,
LocoLobo,King DDD,3,,,,,,,,,,,,
Logan,Luigi,7,,,,,,,,,,,,
LovelyVibes,Chrom,1,,,,,,,,,,,,
Lucas,PKM Trainer,6,Wolf,7,,,,,,,,,,
Lumaz,Luigi,7,,,,,,,,,,,,
Luxray,Incineroar,1,,,,,,,,,,,,
Mabel,Dr. Mario,5,,,,,,,,,,,,
Malisker,Yoshi,4,Incineroar,4,,,,,,,,,,
Malone,Luigi,3,,,,,,,,,,,,
Mando,Link,5,,,,,,,,,,,,
Manzana,PYRA,1,,,,,,,,,,,,
Marcy,ZSS,8,Lucina,1,,,,,,,,,,
Mattias145,Ken,6,Ryu,4,,,,,,,,,,
Megu,Ice Climbers,8,Min Min,2,,,,,,,,,,
Mel0w,Sephiroth,1,,,,,,,,,,,,
Menace,KING DEDEDE,3,,,,,,,,,,,,
Mike2936,Toon Link,5,,,,,,,,,,,,
Milkaholic,Mario,4,Link,1,Cloud,8,,,,,,,,
Millard Fillmore,PKM Trainer,1,,,,,,,,,,,,
Mitch,Lucina,7,,,,,,,,,,,,
Mivics,MII SWORDSMAN,1,,,,,,,,,,,,
Moosolini,Wolf,1,,,,,,,,,,,,
MossMane,Kirby,8,Banjo,8,,,,,,,,,,
Mr,Min Min,3,Snake,1,,,,,,,,,,
Mr. Sensei,Game&Watch,1,Peach,1,,,,,,,,,,
Mystic,ZSS,4,Snake,1,,,,,,,,,,
Nalga,Donkey Kong,6,Little Mac,6,Incineroar,1,,,,,,,,
NAT,Ganon,7,,,,,,,,,,,,
Nekjo,Pyra,6,Cloud,4,,,,,,,,,,
Neutral,Bowser,6,,,,,,,,,,,,
New Gen,Duck Hunt,3,Pikachu,2,,,,,,,,,,
nic3245,Lucina,3,,,,,,,,,,,,
Nick,Snake,5,,,,,,,,,,,,
NightShade,Link,8,,,,,,,,,,,,
NinJamez,Bowser,4,,,,,,,,,,,,
Notorious,Ken,4,Ryu,2,,,,,,,,,,
Notorious BEACHH,Snake,8,,,,,,,,,,,,
OG-Mustaine,Terry,1,Ken,1,Ryu,1,,,,,,,,
Omega X,Terry,7,Ken,4,,,,,,,,,,
Oonagi,Joker,1,,,,,,,,,,,,
OR4CL3,Samus,8,,,,,,,,,,,,
Orange,Link,5,,,,,,,,,,,,
Ozzmaniac,Mario,3,Link,4,,,,,,,,,,
P,Mii Gunner,1,,,,,,,,,,,,
Packun Flower,Plant,1,,,,,,,,,,,,
Palestine,King DDD,1,Palutena,6,,,,,,,,,,
Palpiblade,Pac Man,1,KING DEDEDE,4,ROSALINA AND LUMA,6,,,,,,,,
Panchos,Chrom,2,,,,,,,,,,,,
Papa Frank,chrom,5,MII SWORDSMAN,1,,,,,,,,,,
PatchSlaw,Little Mac,8,,,,,,,,,,,,
Paz,Lucina,8,,,,,,,,,,,,
PenguinPowerTV,Ness,7,,,,,,,,,,,,
Peppercorn,Piranha Plant,7,,,,,,,,,,,,
petebr0,MegaMan,8,,,,,,,,,,,,
Petrikov,DIDDY KONG,1,Steve,3,,,,,,,,,,
Pflor64,Mii Gunner,1,,,,,,,,,,,,
Phresh,Wolf,6,,,,,,,,,,,,
Pikachu191,Inkling,7,,,,,,,,,,,,
Pineda,Mii Gunner,2,Palutena,7,Game & Watch,4,Cloud,8,,,,,,
PK not a furry,Incineroar,5,Ness,3,,,,,,,,,,
PKP,Joker,1,Isabelle,6,Cloud,1,,,,,,,,
Prof. Mario,Cloud,1,,,,,,,,,,,,
Qvr,Little Mac,8,,,,,,,,,,,,
Ra,Peach,3,,,,,,,,,,,,
Ramei,POKEMON TRAINER,6,,,,,,,,,,,,
Ravenking,Joker,1,,,,,,,,,,,,
Rax,Roy,1,Chrom,1,,,,,,,,,,
Rayza,Sephiroth,1,,,,,,,,,,,,
Realsteal,Bowser Jr,5,,,,,,,,,,,,
REM!!!,Lucas,6,,,,,,,,,,,,
Renegona,Byleth,3,,,,,,,,,,,,
RiiKy,Luigi,7,Snake,3,,,,,,,,,,
rm8,Ike,3,,,,,,,,,,,,
Robbie,Terry,2,,,,,,,,,,,,
RobotRed,Pikachu,7,,,,,,,,,,,,
RockMan,MegaMan,5,Jigglypuff,8,Steve,6,Captain Falcon,8,,,,,,
